company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,difficulty_index,daily_rank,difficulty_class
UA,909,2025-08-01,ORD,AMS,31.008436227561305,1,Difficult
OO,5790,2025-08-01,ORD,CRW,30.938215979724436,2,Difficult
UA,1269,2025-08-01,ORD,CLE,30.334918499952128,3,Difficult
UA,2243,2025-08-01,ORD,RIC,30.31382009340869,4,Difficult
UA,1616,2025-08-01,ORD,GRR,30.133987787722628,5,Difficult
OO,5474,2025-08-01,ORD,MBS,30.121306078656772,6,Difficult
UA,617,2025-08-01,ORD,CLT,30.10761252729715,7,Difficult
G7,4416,2025-08-01,ORD,STL,29.965597960470213,8,Difficult
UA,1974,2025-08-01,ORD,PWM,29.92415132235041,9,Difficult
UA,953,2025-08-01,ORD,MUC,29.91583148416197,10,Difficult
OO,5352,2025-08-01,ORD,CAK,29.824512556722393,11,Difficult
UA,2179,2025-08-01,ORD,SFO,29.81226105669291,12,Difficult
UA,1398,2025-08-01,ORD,ATL,29.787998158886293,13,Difficult
UA,288,2025-08-01,ORD,SNN,29.78680031811946,14,Difficult
UA,2427,2025-08-01,ORD,CVG,29.779857165665213,15,Difficult
G7,4395,2025-08-01,ORD,TVC,29.75430670685626,16,Difficult
OO,5555,2025-08-01,ORD,MKE,29.752464718364823,17,Difficult
G7,4188,2025-08-01,ORD,GSO,29.745372046294705,18,Difficult
UA,2652,2025-08-01,ORD,RSW,29.730441004943565,19,Difficult
OO,5538,2025-08-01,ORD,HSV,29.722624650532065,20,Difficult
UA,920,2025-08-01,ORD,LHR,29.695875820261108,21,Difficult
UA,118,2025-08-01,ORD,EDI,29.683107233412002,22,Difficult
UA,1335,2025-08-01,ORD,BUF,29.667107303392836,23,Difficult
UA,2154,2025-08-01,ORD,ROC,29.662470303072425,24,Difficult
UA,1905,2025-08-01,ORD,PIT,29.656699002457604,25,Difficult
G7,4491,2025-08-01,ORD,CAE,29.650685084863266,26,Difficult
UA,2865,2025-08-01,ORD,LGA,29.624136812092196,27,Difficult
UA,1967,2025-08-01,ORD,LAX,29.619271102861482,28,Difficult
OO,5833,2025-08-01,ORD,DTW,29.615546955961257,29,Difficult
UA,291,2025-08-01,ORD,BDL,29.60685118844178,30,Difficult
OO,5526,2025-08-01,ORD,ATW,29.60386443022968,31,Difficult
UA,1178,2025-08-01,ORD,ORF,29.601366168544608,32,Difficult
UA,1655,2025-08-01,ORD,DCA,29.571866374221607,33,Difficult
OO,5637,2025-08-01,ORD,GRB,29.571713165225056,34,Difficult
OO,5610,2025-08-01,ORD,CHO,29.56200798777806,35,Difficult
UA,2481,2025-08-01,ORD,SYR,29.549747998539456,36,Difficult
OO,5699,2025-08-01,ORD,SAV,29.527585831459866,37,Difficult
UA,1006,2025-08-01,ORD,LGA,29.52015687241688,38,Difficult
UA,2147,2025-08-01,ORD,ALB,29.509854293325187,39,Difficult
UA,695,2025-08-01,ORD,SJU,29.4802350680729,40,Difficult
G7,4519,2025-08-01,ORD,SCE,29.466921496790782,41,Difficult
UA,907,2025-08-01,ORD,FRA,29.460564966732605,42,Difficult
G7,4546,2025-08-01,ORD,AVP,29.4435660058065,43,Difficult
UA,1583,2025-08-01,ORD,BWI,29.43781133828049,44,Difficult
UA,349,2025-08-01,ORD,BTV,29.434536560121867,45,Difficult
UA,1776,2025-08-01,ORD,PHL,29.393084857052898,46,Difficult
UA,312,2025-08-01,ORD,CHS,29.378936833437173,47,Difficult
OO,6002,2025-08-01,ORD,AVL,29.375871160601243,48,Difficult
YX,3663,2025-08-01,ORD,BGR,29.373448695432025,49,Difficult
G7,4463,2025-08-01,ORD,ABE,29.34266912929691,50,Difficult
UA,2202,2025-08-01,ORD,IAH,29.33617678166982,51,Difficult
YX,3402,2025-08-01,ORD,YOW,29.328204430376235,52,Difficult
YX,3716,2025-08-01,ORD,CMH,29.30654220963148,53,Difficult
UA,2424,2025-08-01,ORD,RDU,29.295847682371353,54,Difficult
UA,987,2025-08-01,ORD,CDG,29.272208218533315,55,Difficult
UA,1989,2025-08-01,ORD,BOS,29.23312891171022,56,Difficult
UA,2394,2025-08-01,ORD,DEN,29.22717406278665,57,Difficult
OO,5517,2025-08-01,ORD,PVD,29.208253860397036,58,Difficult
OO,5136,2025-08-01,ORD,DEC,28.812339583334207,59,Difficult
OO,5121,2025-08-01,ORD,FOD,28.315771187048817,60,Difficult
OO,5027,2025-08-01,ORD,MCW,26.604049982494754,61,Difficult
UA,1832,2025-08-01,ORD,CMH,26.25053282097738,62,Difficult
UA,286,2025-08-01,ORD,CLE,26.004217047124484,63,Difficult
UA,1975,2025-08-01,ORD,ATL,25.988056322653673,64,Difficult
OO,5380,2025-08-01,ORD,MSY,25.956178446285293,65,Difficult
OO,5726,2025-08-01,ORD,TYS,25.895898692538346,66,Difficult
G7,4380,2025-08-01,ORD,SYR,25.877978877892076,67,Difficult
UA,2302,2025-08-01,ORD,BWI,25.87614927475111,68,Difficult
OO,5577,2025-08-01,ORD,JAX,25.866402269823464,69,Difficult
YX,3440,2025-08-01,ORD,YYZ,25.84582037261824,70,Difficult
G7,4474,2025-08-01,ORD,AVL,25.844578746806395,71,Difficult
UA,1358,2025-08-01,ORD,RDU,25.81089293059189,72,Difficult
UA,1643,2025-08-01,ORD,SEA,25.779841876173144,73,Difficult
OO,5532,2025-08-01,ORD,MCI,25.76668925720238,74,Difficult
UA,2038,2025-08-01,ORD,BUF,25.764522675407576,75,Difficult
UA,1306,2025-08-01,ORD,TPA,25.7572773601116,76,Difficult
G7,4597,2025-08-01,ORD,ROA,25.69830147934884,77,Difficult
UA,2361,2025-08-01,ORD,LAX,25.6121279700249,78,Difficult
UA,611,2025-08-01,ORD,SFO,25.58652106397884,79,Difficult
UA,563,2025-08-01,ORD,EWR,25.58086138179868,80,Difficult
UA,1100,2025-08-01,ORD,PDX,25.555914086159788,81,Difficult
OO,5859,2025-08-01,ORD,BZN,25.530336804876264,82,Difficult
UA,1252,2025-08-01,ORD,DCA,25.5100277696441,83,Difficult
UA,729,2025-08-01,ORD,DFW,25.500114684259994,84,Difficult
YX,3536,2025-08-01,ORD,YUL,25.47784290065236,85,Difficult
UA,1657,2025-08-01,ORD,LGA,25.458432494597172,86,Difficult
